CODIGO,PRODUTO, PREÇO,IPI,CAS,NCM,ST,EXERCITO,CIVIL,FEDERAL,IBAMA,ONU,CLASSE RISCO,VALIDADE,CONCENTRACAO,DENSIDADE,CATEGORIA,SUBCATEGORIA
C04542RA,"1-CLORONAFTALENO 84,5% (GC) 100ML"," R$  869,15 ","0,00%",90-13-1,2903.99.15,NAO,N,N,N,N,3082,9,6 - ANO,"84,5","1,18",Compostos Orgânicos,Diversos
D03204RA,1-DECANOL 98% PA 100ML," R$  46,20 ","0,00%",112-30-1,2905.19.11,NAO,N,N,N,N,-,-,6 - ANO,98,"0,86",Compostos Orgânicos,Diversos
D03203RA,1-DECANOL 98% PA 1L," R$  434,00 ","0,00%",112-30-1,2905.19.11,NAO,N,N,N,N,-,-,6 - ANO,98,"0,82",Compostos Orgânicos,Diversos
T04473RA,"1,1,3,3 TETRAMETILUREIA 99% PA 100ML"," R$  141,60 ","0,00%",632-22-4,2924.19.99,NAO,N,N,N,N,-,-,6 - ANO,99,"0,96",Compostos Orgânicos,Diversos
T04472RA,"1,1,3,3 TETRAMETILUREIA 99% PA 250ML"," R$  295,42 ","0,00%",632-22-4,2924.19.99,NAO,N,N,N,N,-,-,6 - ANO,99,"0,96",Compostos Orgânicos,Diversos
T04471RA,"1,1,3,3 TETRAMETILUREIA 99% PA 500ML"," R$  580,36 ","0,00%",632-22-4,2924.19.99,NAO,N,N,N,N,-,-,6 - ANO,99,"0,96",Compostos Orgânicos,Diversos
D04556RA,"1,2 DICLOROBENZENO 98,5% HPLC PLUS 1L"," R$  245,18 ","0,00%",95-50-1,2903.91.20,NAO,N,N,N,N,1591,6.1,6 - ANO,"98,5","1,31",Solventes e Água,Solventes
D04979RA,"2,3-DIAMONINAFTALENO PA 1G"," R$  849,96 ","0,00%",771-97-1,2921.59.90,NAO,N,N,N,N,-,-,6 - ANO,95,"1,1",Compostos Orgânicos,Diversos
A06105RA,4-AMINOANTIPIRINA 25G," R$  136,91 ","0,00%",83-07-8,2933.11.90,NAO,N,N,N,N,-,-,6 - ANO,98,"1,21",Compostos Orgânicos,Diversos
A04065RA,4-AMINOANTIPIRINA PA 100G," R$  495,58 ","0,00%",83-07-8,2933.11.90,NAO,N,N,N,N,-,-,6 - ANO,98,"1,21",Compostos Orgânicos,Diversos
M03909RA,"4,4'-METILENO-BIS(2-CLOROANILINA) 99%  1KG"," R$  1.710,23 ","0,00%",101-14-4,2921.59.90,NAO,N,N,N,N,3077,9,6 - ANO,99,"1,44",Compostos Orgânicos,Cloridratos e Aminas
M03910RA,"4,4'-METILENO-BIS(2-CLOROANILINA) 99% 250G"," R$  685,26 ","0,00%",101-14-4,2921.59.90,NAO,N,N,N,N,3077,9,6 - ANO,99,"1,44",Compostos Orgânicos,Cloridratos e Aminas
AD04605RA,ACETAL (DIETILACETAL) 98% PA 500ML," R$  485,46 ","0,00%",105-57-7,2912.12.00,NAO,N,N,N,N,1088,3,6 - ANO,98,"0,83",Compostos Orgânicos,Diversos
AP06404RA,ACETAMIDA PURISSIMO 100G," R$  43,08 ","0,00%",60-35-5,2924.29.19,NAO,N,N,N,N,-,-,6 - ANO,"98,5","1,16",Compostos Orgânicos,Ésteres e Amidas
A04721RA,ACETAMIDA PURISSIMO 500G," R$  196,71 ","0,00%",60-35-5,2924.29.19,NAO,N,N,N,N,-,-,6 - ANO,"98,5","1,16",Compostos Orgânicos,Ésteres e Amidas
A07239RA,ACETANILIDA PURISSIMO 500G," R$  113,40 ","0,00%",103-84-4,2915.39.39,NAO,N,N,N,N,-,-,6 - ANO,"98,5","1,22",Compostos Orgânicos,Ésteres e Amidas
AA03777RA,ACETATO DE ALUMINIO BASICO PA 1KG," R$  324,87 ","0,00%",142-03-0,2936.21.12,NAO,N,N,N,N,3077,9,6 - ANO,97,"1,04",Sais Inorgânicos,Acetatos
AA03778RA,ACETATO DE ALUMINIO BASICO PA 250G," R$  82,12 ","0,00%",142-03-0,2936.21.12,NAO,N,N,N,N,3077,9,6 - ANO,97,"1,04",Sais Inorgânicos,Acetatos
AA04017RA,ACETATO DE AMONIO PA 1KG," R$  44,15 ","0,00%",631-61-8,2915.29.90,NAO,N,N,N,N,,,6 - ANO,97,"1,17",Sais Inorgânicos,Acetatos
AA04018RA,ACETATO DE AMONIO PA 500G," R$  24,56 ","0,00%",631-61-8,2915.29.90,NAO,N,N,N,N,-,-,6 - ANO,97,"1,07",Sais Inorgânicos,Acetatos
AA09778RA,ACETATO DE AMONIO PA ACS 1KG," R$  48,83 ","0,00%",631-61-8,2915.29.90,NAO,N,N,N,N,-,-,6 - ANO,97,"1,17",Sais Inorgânicos,Acetatos
AA09562RA,ACETATO DE AMONIO PA ACS 500G," R$  27,72 ","0,00%",631-61-8,2915.29.90,NAO,N,N,N,N,-,-,6 - ANO,97,"1,17",Sais Inorgânicos,Acetatos
AA05407SO,ACETATO DE AMONIO SOL.1M AQUOSO 1L," R$  70,15 ","0,00%",631-61-8,2915.29.90,NAO,N,N,N,N,-,-,2 - ANO,"7,66","1,02",Sais Inorgânicos,Acetatos
AB08472RA,ACETATO DE BARIO PA 500G," R$  46,36 ","0,00%",543-80-6,2915.33.00,NAO,N,N,N,N,-,-,6 - ANO,99,"2,47",Sais Inorgânicos,Acetatos
AB05770RA,ACETATO DE BUTIL GLICOL PA 1L," R$  111,41 ","0,00%",112-07-2,2915.39.99,NAO,N,N,N,N,-,-,6 - ANO,99,"0,94",Sais Inorgânicos,Acetatos
AC05740RA,ACETATO DE CADMIO DIHIDRATADO PA 100G," R$  27,05 ","0,00%",5743-04-4,2915.29.90,NAO,N,N,N,N,2570,6.1,6 - ANO,98,"2,01",Sais Inorgânicos,Acetatos
AC05498RA,ACETATO DE CADMIO DIHIDRATADO PA 1KG," R$  155,80 ","0,00%",5743-04-4,2915.29.90,NAO,N,N,N,N,2570,6.1,6 - ANO,98,"2,01",Sais Inorgânicos,Acetatos
AC05739RA,ACETATO DE CADMIO DIHIDRATADO PA 500G," R$  83,70 ","0,00%",5743-04-4,2915.29.90,NAO,N,N,N,N,2570,6.1,6 - ANO,98,"2,01",Sais Inorgânicos,Acetatos
AC08547RA,ACETATO DE CALCIO H2O PA 1KG," R$  65,22 ","0,00%",5743-26-0,2915.39.29,NAO,N,N,N,N,-,-,6 - ANO,99,"1,5",Sais Inorgânicos,Acetatos
AC07630RA,ACETATO DE CALCIO H2O PA 500G," R$  29,47 ","0,00%",5743-26-0,2915.39.29,NAO,N,N,N,N,-,-,6 - ANO,99,"1,5",Sais Inorgânicos,Acetatos
AC06611RA,ACETATO DE CALCIO P/ANALISE SOLOS 1KG," R$  79,90 ","0,00%",5743-26-0,2915.39.29,NAO,N,N,N,N,-,-,6 - ANO,95,"1,5",Sais Inorgânicos,Acetatos
AC06438RA,ACETATO DE CALCIO P/ANALISE SOLOS 500G," R$  45,13 ","0,00%",5743-26-0,2915.39.29,NAO,N,N,N,N,-,-,6 - ANO,95,"1,5",Sais Inorgânicos,Acetatos
AC06263SO,ACETATO DE CHUMBO BASICO 5% P/V AQ. 1L," R$  41,08 ","0,00%",301-04-2,2915.29.90,NAO,N,N,N,N,2810,6.1,4 - ANO,5,1,Sais Inorgânicos,Acetatos
AC06095RA,ACETATO DE CHUMBO BASICO(SUB-ACETATO) PA 1KG," R$  161,25 ","0,00%",1335-32-6,2833.29.50,NAO,N,N,N,N,1616,6.1,6 - ANO,0,"3,25",Sais Inorgânicos,Acetatos
AC09235RA,ACETATO DE CHUMBO BASICO(SUB-ACETATO) PA 250G," R$  51,78 ","0,00%",1335-32-6,2833.29.50,NAO,N,N,N,N,1616,6.1,6 - ANO,0,"3,25",Sais Inorgânicos,Acetatos
AC06096RA,ACETATO DE CHUMBO BASICO(SUB-ACETATO) PA 500G," R$  86,49 ","0,00%",1335-32-6,2833.29.50,NAO,N,N,N,N,1616,6.1,6 - ANO,0,"3,25",Sais Inorgânicos,Acetatos
SC08636SO,ACETATO DE CHUMBO BASICO(SUB-ACETATO) SOL. 500ML," R$  34,65 ","0,00%",1335-32-6,2833.29.50,NAO,N,N,N,N,2810,6.1,2 - ANO,25,"1,24",Sais Inorgânicos,Acetatos
AC06797RA,ACETATO DE CHUMBO II ANIDRO PA 500G," R$  246,82 ","0,00%",301-04-2,2915.29.90,NAO,N,N,N,N,1616,6.1,6 - ANO,"95,5","3,25",Sais Inorgânicos,Acetatos
AC04982RA,ACETATO DE CHUMBO IV PA 100G," R$  349,82 ","0,00%",546-67-8,2915.29.90,NAO,N,N,N,N,1616,6.1,6 - ANO,99,"2,23",Sais Inorgânicos,Acetatos
AC03601RA,ACETATO DE CHUMBO NEUTRO 3H2O PA 1KG," R$  166,25 ","0,00%",6080-56-4,2915.29.90,NAO,N,N,N,N,1616,6.1,6 - ANO,99,"2,55",Sais Inorgânicos,Acetatos
AC03602RA,ACETATO DE CHUMBO NEUTRO 3H2O PA 500G," R$  86,88 ","0,00%",6080-56-4,2915.29.90,NAO,N,N,N,N,1616,6.1,6 - ANO,99,"2,55",Sais Inorgânicos,Acetatos
AC05347RA,ACETATO DE CHUMBO NEUTRO 3H2O PA ACS ISO 250G," R$  295,26 ","0,00%",114460-21-8,2915.29.90,NAO,N,N,N,N,1616,6.1,6 - ANO,"99,5","2,55",Sais Inorgânicos,Acetatos
AC06464SO,ACETATO DE CHUMBO NEUTRO SOL.1% AQUOSO 1L," R$  26,10 ","0,00%",301-04-2,2915.29.90,NAO,N,N,N,N,2810,6.1,4 - ANO,1,1,Sais Inorgânicos,Acetatos
AC06685SO,ACETATO DE CHUMBO NEUTRO SOL.10% 500ML," R$  22,39 ","0,00%",301-04-2,2915.29.90,NAO,N,N,N,N,2810,6.1,4 - ANO,10,1,Sais Inorgânicos,Acetatos
AC06510SO,ACETATO DE CHUMBO NEUTRO SOL.5% 1L," R$  29,74 ","0,00%",301-04-2,2915.29.90,NAO,N,N,N,N,2810,6.1,4 - ANO,5,1,Sais Inorgânicos,Acetatos
AC09239RA,ACETATO DE COBALTO II OSO 4H2O PA ACS 100G," R$  45,43 ","0,00%",6147-53-1,2915.29.20,NAO,N,N,N,N,3077,9,6 - ANO,98,"1,71",Sais Inorgânicos,Acetatos
AC09150RA,ACETATO DE COBALTO II OSO 4H2O PA ACS 250G," R$  110,09 ","0,00%",6147-53-1,2915.29.20,NAO,N,N,N,N,3077,9,6 - ANO,98,"1,71",Sais Inorgânicos,Acetatos
AC07244RA,ACETATO DE COBRE II ICO H2O PA 1KG," R$  387,18 ","0,00%",6046-93-1,2915.29.90,NAO,N,N,N,N,1759,8,6 - ANO,98,"1,88",Sais Inorgânicos,Acetatos
AC07309RA,ACETATO DE COBRE II ICO H2O PA 500G," R$  198,99 ","0,00%",6046-93-1,2915.29.90,NAO,N,N,N,N,1759,8,6 - ANO,98,"1,88",Sais Inorgânicos,Acetatos
AE05726RA,ACETATO DE ESTRONCIO PA 250G," R$  197,00 ","0,00%",543-94-2,2915.29.90,NAO,N,N,N,N,,,6 - ANO,98,"2,1",Sais Inorgânicos,Acetatos
AL06442RA,ACETATO DE LITIO 98% PA 100G," R$  464,80 ","0,00%",546-89-4,2915.29.90,NAO,N,N,N,N,-,-,6 - ANO,98,"1,3",Sais Inorgânicos,Acetatos
AM04258RA,ACETATO DE MAGNESIO 4H2O PA  250G," R$  34,20 ","0,00%",16674-78-5,2915.39.39,NAO,N,N,N,N,-,-,6 - ANO,98,"1,45",Sais Inorgânicos,Acetatos
AM07623RA,ACETATO DE MAGNESIO 4H2O PA 100G," R$  19,84 ","0,00%",16674-78-5,2915.39.39,NAO,N,N,N,N,-,-,6 - ANO,98,"1,45",Sais Inorgânicos,Acetatos
AM07259RA,ACETATO DE MAGNESIO 4H2O PA 500G," R$  58,43 ","0,00%",16674-78-5,2915.39.99,NAO,N,N,N,N,-,-,6 - ANO,98,"1,45",Sais Inorgânicos,Acetatos
AM03057SO,"ACETATO DE MAGNESIO 4H2O SOL. AQUOSA 1,0M 1L"," R$  52,57 ","0,00%",16674-78-5,2915.39.99,NAO,N,N,N,N,-,-,6 - ANO,98,"1,45",Sais Inorgânicos,Acetatos
AM09240RA,ACETATO DE MANGANES II OSO 4H2O PA 250G," R$  32,25 ","0,00%",6156-78-1,2915.29.90,NAO,N,N,N,N,-,-,6 - ANO,"99,5","1,59",Sais Inorgânicos,Acetatos
AM05864RA,ACETATO DE MANGANES II OSO 4H2O PA 500G," R$  73,40 ","0,00%",6156-78-1,2915.29.90,NAO,N,N,N,N,-,-,6 - ANO,"99,5","1,59",Sais Inorgânicos,Acetatos
AN05467RA,ACETATO DE NIQUEL 4H2O PA 100G," R$  33,16 ","0,00%",6018-89-9,2915.39.99,NAO,N,N,N,N,3077,9,6 - ANO,22,"1,74",Sais Inorgânicos,Acetatos
AN05494RA,ACETATO DE NIQUEL 4H2O PA 250G," R$  64,89 ","0,00%",6018-89-9,2915.39.99,NAO,N,N,N,N,3077,9,6 - ANO,22,"1,74",Sais Inorgânicos,Acetatos
AN05724RA,ACETATO DE NIQUEL 4H2O PA 500G," R$  117,78 ","0,00%",6018-89-9,2915.39.99,NAO,N,N,N,N,3077,9,6 - ANO,22,"1,74",Sais Inorgânicos,Acetatos
AP08173RA,ACETATO DE POTASSIO PA 250G," R$  26,90 ","0,00%",127-08-2,2915.39.39,NAO,N,N,N,N,-,-,6 - ANO,"98,2","1,57",Sais Inorgânicos,Acetatos
AP07939RA,ACETATO DE POTASSIO PA 500G," R$  38,69 ","0,00%",127-08-2,2915.39.39,NAO,N,N,N,N,-,-,6 - ANO,"98,2","1,57",Sais Inorgânicos,Acetatos
AP03413SO,ACETATO DE POTASSIO SOL.10% TS 1L," R$  41,67 ","0,00%",127-08-2,2915.39.39,NAO,N,N,N,N,-,-,4 - ANO,10,"1,57",Sais Inorgânicos,Acetatos
AP07098SO,ACETATO DE POTASSIO SOL.1M 1L," R$  42,30 ","0,00%",127-08-2,2915.39.39,NAO,N,N,N,N,-,-,2 - ANO,"9,81","1,02",Sais Inorgânicos,Acetatos
AP07625RA,ACETATO DE PRATA PA 25G," R$  1.219,50 ","0,00%",563-63-3,2915.39.29,NAO,N,N,N,N,3077,9,6 - ANO,98,"3,26",Sais Inorgânicos,Acetatos
AS03609RA,ACETATO DE SODIO 3H2O CRISTAL PA 1KG," R$  26,36 ","0,00%",6131-90-4,2915.29.10,NAO,N,N,N,N,-,-,6 - ANO,98,"1,45",Sais Inorgânicos,Acetatos
AS03608RA,ACETATO DE SODIO 3H2O CRISTAL PA 500G," R$  17,78 ","0,00%",6131-90-4,2915.29.10,NAO,N,N,N,N,-,-,6 - ANO,98,"1,45",Sais Inorgânicos,Acetatos
AS09182RA,ACETATO DE SODIO 3H2O CRISTAL PA ACS 1KG," R$  42,51 ","0,00%",6131-90-4,2915.29.10,NAO,N,N,N,N,-,-,6 - ANO,99,"1,45",Sais Inorgânicos,Acetatos
AS09146RA,ACETATO DE SODIO 3H2O CRISTAL PA ACS 500G," R$  26,55 ","0,00%",6131-90-4,2915.29.10,NAO,N,N,N,N,-,-,6 - ANO,99,"1,45",Sais Inorgânicos,Acetatos
AS06421RA,ACETATO DE SODIO ANIDRO PA 1KG," R$  61,25 ","0,00%",127-09-3,2915.29.10,NAO,N,N,N,N,-,-,6 - ANO,98,"1,52",Sais Inorgânicos,Acetatos
AS08496RA,ACETATO DE SODIO ANIDRO PA 250G," R$  22,85 ","0,00%",127-09-3,2915.29.10,NAO,N,N,N,N,-,-,6 - ANO,98,"1,52",Sais Inorgânicos,Acetatos
AS07728RA,ACETATO DE SODIO ANIDRO PA 500G," R$  35,63 ","0,00%",127-09-3,2915.29.10,NAO,N,N,N,N,-,-,6 - ANO,98,"1,52",Sais Inorgânicos,Acetatos
AS02143SO,ACETATO DE SODIO SOL. ZERO OU LIGHT 1L	," R$  68,25 ","0,00%",127-09-3,2915.29.10,NAO,N,N,N,N,-,-,4 - ANO,0,"1,52",Sais Inorgânicos,Acetatos
AS07301SO,ACETATO DE SODIO SOL.1N AQUOSA 1L," R$  48,75 ","0,00%",127-09-3,2915.29.10,NAO,N,N,N,N,-,-,2 - ANO,"13,2","1,02",Sais Inorgânicos,Acetatos
AS04927SO,ACETATO DE SODIO SOL.1N ISO ESPECIAL AQUOSA 1L," R$  48,75 ","0,00%",127-09-3,2915.29.10,NAO,N,N,N,N,-,-,2 - ANO,"13,2","1,02",Sais Inorgânicos,Acetatos
AS09426SO,ACETATO DE SODIO SOL.3M AQUOSA 1L," R$  19,80 ","0,00%",127-09-3,2915.29.10,NAO,N,N,N,N,-,-,2 - ANO,40,"1,2",Sais Inorgânicos,Acetatos
AV08008RA,ACETATO DE VINILA 99% PS (3 -20 PPM DE HIDROQUINONA INIBIDOR) 1L," R$  125,15 ","0,00%",108-05-4,2915.39.99,NAO,N,N,N,N,1301,3,6 - ANO,99,"0,93",Sais Inorgânicos,Acetatos
AZ08016RA,ACETATO DE ZINCO CRISTAL 2H2O PA 1KG," R$  76,12 ","0,00%",5970-45-6,2915.29.90,NAO,N,N,N,N,3077,9,6 - ANO,98,"1,84",Sais Inorgânicos,Acetatos
AZ09718RA,ACETATO DE ZINCO CRISTAL 2H2O PA 500G," R$  42,98 ","0,00%",5970-45-6,2915.29.90,NAO,N,N,N,N,3077,9,6 - ANO,98,"1,84",Sais Inorgânicos,Acetatos
AZ09425SO,"ACETATO DE ZINCO SOL.0,1M AQUOSA 1L"," R$  14,52 ","0,00%",557-34-6,2915.29.90,NAO,N,N,N,N,3082,9,2 - ANO,"1,8",1,Sais Inorgânicos,Acetatos
AZ09424SO,"ACETATO DE ZINCO SOL.0,1N AQUOSA 1L"," R$  14,50 ","0,00%",557-34-6,2915.29.90,NAO,N,N,N,N,3082,9,2 - ANO,"1,8",1,Sais Inorgânicos,Acetatos
AZ06622SO,ACETATO DE ZINCO SOL.12% AQUOSA 1L," R$  48,75 ","0,00%",557-34-6,2915.29.90,NAO,N,N,N,N,3082,9,4 - ANO,12,1,Sais Inorgânicos,Acetatos
AZ03515SO,ACETATO DE ZINCO SOL.1M AQUOSA 1L," R$  27,35 ","0,00%",557-34-6,2915.29.90,NAO,N,N,N,N,3077,9,4 - ANO,"18,3",1,Sais Inorgânicos,Acetatos
AZ08177SO,ACETATO DE ZINCO SOL.1N AQUOSA 1L," R$  48,75 ","0,00%",557-34-6,2915.29.90,NAO,N,N,N,N,3082,9,2 - ANO,18,1,Sais Inorgânicos,Acetatos
AZ05572SO,ACETATO DE ZINCO SOL.20% AQUOSA 1L," R$  48,75 ","0,00%",557-34-6,2915.29.90,NAO,N,N,N,N,3082,9,4 - ANO,20,1,Sais Inorgânicos,Acetatos
AZ09423SO,ACETATO DE ZINCO SOL.2N AQUOSA 1L," R$  27,35 ","0,00%",5970-45-6,2915.29.90,NAO,N,N,N,N,3082,9,2 - ANO,18,"1,05",Sais Inorgânicos,Acetatos
AZ06518SO,ACETATO DE ZINCO SOL.30% AQUOSA 1L," R$  39,53 ","0,00%",557-34-6,2915.29.90,NAO,N,N,N,N,3082,9,4 - ANO,30,"1,17",Sais Inorgânicos,Acetatos
AZ05363SO,ACETATO DE ZINCO SOL.5% AQUOSA 1L," R$  13,94 ","0,00%",557-34-6,2915.29.90,NAO,N,N,N,N,3082,9,4 - ANO,5,1,Sais Inorgânicos,Acetatos
AA07506RA,ACETILACETONA PA 1L," R$  139,15 ","0,00%",123-54-6,2914.19.21,NAO,N,N,N,N,2310,3(6.1),6 - ANO,"99,5","0,97",Solventes e Água,Solventes
AA06480RA,ACETOACETATO DE ETILA 1L," R$  268,74 ","0,00%",141-97-9,2850.00.90,NAO,N,N,N,N,-,-,6 - ANO,"98,5","1,03",Sais Inorgânicos,Acetatos
AA07118RA,ACETOACETATO DE ETILA 500ML," R$  141,87 ","0,00%",141-97-9,2850.00.90,NAO,N,N,N,N,-,-,6 - ANO,"98,5","1,03",Sais Inorgânicos,Acetatos
A08055RA,ACETOFENONA PS 1L," R$  272,41 ","0,00%",98-86-2,2914.11.00,NAO,N,N,N,N,-,-,6 - ANO,99,"1,03",Compostos Orgânicos,Aldeídos e Cetonas
A06414RA,ACETOFENONA PS 250ML," R$  95,31 ","0,00%",98-86-2,2914.11.00,NAO,N,N,N,N,-,-,6 - ANO,99,"1,03",Compostos Orgânicos,Aldeídos e Cetonas
AA07284RA,ACIDO 1-AMINO-2-NAFTOL-4-SULFONICO PA 100G," R$  89,49 ","0,00%",116-63-2,2840.11.00,NAO,N,N,N,N,-,-,6 - ANO,98,"1,4",Ácidos e Bases,Ácidos
AA06511RA,ACIDO 1-AMINO-2-NAFTOL-4-SULFONICO PA 25G," R$  24,40 ","0,00%",116-63-2,2918.29.90,NAO,N,N,N,N,-,-,6 - ANO,98,"1,4",Ácidos e Bases,Ácidos
AM03981RA,ACIDO 2-MORFOLINO-N ETANOSULFONICO HIDRATADO (MES) 100G," R$  259,36 ","0,00%",145224-94-8,2934.99.99,NAO,N,N,N,N,-,-,6 - ANO,99,"1,4",Ácidos e Bases,Ácidos
AM03980RA,ACIDO 2-MORFOLINO-N ETANOSULFONICO HIDRATADO (MES) 500G," R$  1.165,55 ","0,00%",145224-94-8,2934.99.99,NAO,N,N,N,N,-,-,6 - ANO,99,"1,4",Ácidos e Bases,Ácidos
AM05376RA,ACIDO 2-MORFOLINO-N ETANOSULFONICO SAL SODICO (MES) PA 100G," R$  248,75 ","0,00%",71119-23-8,2934.99.99,NAO,N,N,N,N,-,-,6 - ANO,99,1,Ácidos e Bases,Ácidos
AM05377RA,ACIDO 2-MORFOLINO-N ETANOSULFONICO SAL SODICO (MES) PA 25G," R$  49,90 ","0,00%",71119-23-8,2934.99.99,NAO,N,N,N,N,-,-,6 - ANO,99,1,Ácidos e Bases,Ácidos
AT05583SO,"ACIDO 2-TIOBARBITURICO SOL.0,3% 1L"," R$  281,12 ","0,00%",504-17-6,2933.52.00,NAO,N,N,N,N,-,,6 - ANO,"0,3",1,Ácidos e Bases,Ácidos
AT04515RA,"ACIDO 2,3,5-TRIIODOBENZOICO (TIBA) PA 10G"," R$  129,45 ","0,00%",88-82-4,2916.39.90,NAO,N,N,N,N,-,-,6 - ANO,"97,5","2,8",Ácidos e Bases,Ácidos
AT04514RA,"ACIDO 2,3,5-TRIIODOBENZOICO (TIBA) PA 25G"," R$  319,74 ","0,00%",88-82-4,2916.39.90,NAO,N,N,N,N,-,-,6 - ANO,"97,5","2,8",Ácidos e Bases,Ácidos
M07373RA,ACIDO 3-MORFOLINO PROPANO SULFONICO (MOPS) 100G," R$  59,28 ","0,00%",1132-61-2,2934.99.11,NAO,N,N,N,N,-,-,6 - ANO,"99,5",1,Ácidos e Bases,Ácidos
M07388RA,ACIDO 3-MORFOLINO PROPANO SULFONICO (MOPS) 500G," R$  277,87 ","0,00%",1132-61-2,2934.99.11,NAO,N,N,N,N,-,-,6 - ANO,"99,5","1,31",Ácidos e Bases,Ácidos
AN06309RA,"ACIDO 3-NITROBENZOICO 98,5% 25G"," R$  63,10 ","0,00%",121-92-6,2916.39.90,NAO,N,N,N,N,-,-,6 - ANO,99,"1,49",Ácidos e Bases,Ácidos
AP04618RA,ACIDO 4-HIDROXIBENZOICO 99% PA 100G," R$  37,46 ","0,00%",99-96-7,2918.29.21,NAO,N,N,N,N,-,-,6 - ANO,99,"1,4",Ácidos e Bases,Ácidos
A03125RA,ACIDO 4-METOXIFENILACETICO 100G," R$  545,50 ","0,00%",104-01-8,2918.99.19,NAO,N,N,N,N,-,-,6 - ANO,99,"1,2",Ácidos e Bases,Ácidos
A03124RA,ACIDO 4-METOXIFENILACETICO 25G," R$  315,26 ","0,00%",104-01-8,2918.99.19,NAO,N,N,N,N,-,-,6 - ANO,99,"1,2",Ácidos e Bases,Ácidos
A03123RA,ACIDO 4-METOXIFENILACETICO 5G," R$  95,26 ","0,00%",104-01-8,2918.99.19,NAO,N,N,N,N,-,-,6 - ANO,99,"1,2",Ácidos e Bases,Ácidos
AA09564RA,ACIDO ACETILSALICILICO PA 250G," R$  35,05 ","0,00%",50-78-2,2918.22.11,NAO,N,N,N,N,-,-,6 - ANO,99,"1,4",Ácidos e Bases,Ácidos
AA06578RA,ACIDO ACETILSALICILICO PA 500G," R$  56,13 ","0,00%",50-78-2,2918.22.11,NAO,N,N,N,N,-,-,6 - ANO,99,"1,4",Ácidos e Bases,Ácidos
AC05772RA,ACIDO ACRILICO 98% PA 1L," R$  59,40 ","0,00%",79-10-7,2916.11.10,NAO,N,N,N,N,2218,8(3),6 - ANO,99,"1,05",Ácidos e Bases,Ácidos
AC05773RA,ACIDO ACRILICO 98% PA 500ML," R$  36,10 ","0,00%",79-10-7,2916.11.10,NAO,N,N,N,N,2218,8(3),6 - ANO,99,"1,05",Ácidos e Bases,Ácidos
AA06549RA,ACIDO ADIPICO PURISSIMO 500G," R$  19,15 ","0,00%",124-04-9,2917.12.10,NAO,N,N,N,N,-,-,6 - ANO,"99,5","1,36",Ácidos e Bases,Ácidos
AA07067RA,ACIDO AMINOBENZOICO-4 PA 100G," R$  58,67 ","0,00%",150-13-0,2922.49.90,NAO,N,N,N,N,-,-,6 - ANO,98,"1,37",Ácidos e Bases,Ácidos
AA05269RA,ACIDO AMINOBENZOICO-4 PA 1KG," R$  843,55 ","0,00%",150-13-0,2922.49.90,NAO,N,N,N,N,-,-,6 - ANO,98,"1,37",Ácidos e Bases,Ácidos
AA07066RA,ACIDO AMINOBENZOICO-4 PA 250G," R$  144,30 ","0,00%",150-13-0,2922.49.90,NAO,N,N,N,N,-,-,6 - ANO,98,"1,37",Ácidos e Bases,Ácidos
AA04631SO,ACIDO ASCORBICO SOL.1% 100ML," R$  26,36 ","0,00%",50-81-7,2936.27.10,NAO,N,N,N,N,-,-,4 - ANO,1,1,Ácidos e Bases,Ácidos
AA04246SO,ACIDO ASCORBICO SOL.1% 1L," R$  34,56 ","0,00%",50-81-7,2936.27.10,NAO,N,N,N,N,-,-,4 - ANO,1,1,Ácidos e Bases,Ácidos
AA06504SO,ACIDO ASCORBICO SOL.10% RS 1L," R$  43,15 ","0,00%",50-81-7,2936.27.10,NAO,N,N,N,N,-,-,4 - ANO,10,"1,02",Ácidos e Bases,Ácidos
AA06217SO,ACIDO ASCORBICO SOL.2% 1L," R$  38,77 ","0,00%",50-81-7,2936.27.10,NAO,N,N,N,N,-,-,4 - ANO,2,1,Ácidos e Bases,Ácidos
AA07267RA,ACIDO ASCORBICO-L PA ACS (VIT.C) 100G," R$  11,38 ","0,00%",50-81-7,2936.27.10,NAO,N,N,N,N,-,-,6 - ANO,99,"1,65",Ácidos e Bases,Ácidos
AA09315RA,ACIDO ASCORBICO-L PA ACS (VIT.C) 250G," R$  21,85 ","0,00%",50-81-7,2936.27.10,NAO,N,N,N,N,-,-,6 - ANO,99,"1,65",Ácidos e Bases,Ácidos
AA09314RA,ACIDO ASCORBICO-L PA ACS (VIT.C) 500G," R$  38,13 ","0,00%",50-81-7,2936.27.10,NAO,N,N,N,N,-,-,6 - ANO,99,"1,65",Ácidos e Bases,Ácidos
AA07888RA,ACIDO ASPARTICO-L PA 25G," R$  9,55 ","0,00%",56-84-8,2922.50.99,NAO,N,N,N,N,-,-,6 - ANO,"98,5","1,66",Ácidos e Bases,Ácidos
AU06507RA,ACIDO AURINTRICARBOXILICO AMONIACO PA ACS 10G," R$  644,70 ","0,00%",569-58-4,3822.90.00,NAO,N,N,N,N,-,-,6 - ANO,0,"2,7",Ácidos e Bases,Ácidos
AB07295RA,ACIDO BARBITURICO PA 100G," R$  843,20 ","0,00%",67-52-7,2933.52.00,NAO,N,N,N,N,-,-,6 - ANO,99,"1,17",Ácidos e Bases,Ácidos
