CODIGO,PRODUTO, PREÇO,IPI,CAS,NCM,ST,EXERCITO,CIVIL,FEDERAL,IBAMA,ONU,CLASSE RISCO,VALIDADE,CONCENTRACAO,DENSIDADE,CATEGORIA,SUBCATEGORIA
TF07407SO,"TAMPAO FOSFATO PH 5,8 500ML"," R$  42,90 ","0,00%",-,3822.90.00,NAO,N,N,N,N,-,-,2 - ANO,0,1,Reagentes Especiais,Soluções e Tampões
TF07715SO,"TAMPAO FOSFATO PH 6,4 500ML"," R$  42,90 ","0,00%",-,3822.90.00,NAO,N,N,N,N,-,-,2 - ANO,0,1,Reagentes Especiais,Soluções e Tampões
TF03370SO,"TAMPAO FOSFATO PH 7,0 TS 1L"," R$  42,90 ","0,00%",-,3822.90.00,NAO,N,N,N,N,-,-,2 - ANO,0,1,Reagentes Especiais,Soluções e Tampões
TF07061SO,"TAMPAO FOSFATO PH 7,2 500ML"," R$  42,90 ","0,00%",-,3822.90.00,NAO,N,N,N,N,-,-,2 - ANO,0,1,Reagentes Especiais,Soluções e Tampões
TF08639SO,"TAMPAO FOSFATO PH 7,3 500ML"," R$  42,90 ","0,00%",-,3822.90.00,NAO,N,N,N,N,-,-,2 - ANO,0,1,Reagentes Especiais,Soluções e Tampões
TF06757SO,"TAMPAO FOSFATO SALINA PH 6,5-7,5 1L"," R$  42,90 ","0,00%",-,3822.90.00,NAO,N,N,N,N,-,-,2 - ANO,0,1,Reagentes Especiais,Soluções e Tampões
TM06273SO,"TAMPAO MOPS 0,2M PH 7,00 1L"," R$  42,90 ","0,00%",-,2850.00.90,NAO,N,N,N,N,-,-,2 - ANO,0,1,Reagentes Especiais,Soluções e Tampões
TP03355SO,TAMPAO PADRAO FOSFATO RS 1L	," R$  42,90 ","0,00%",7778-77-0,3822.90.00,NAO,N,N,N,N,-,-,2 - ANO,0,1,Reagentes Especiais,Soluções e Tampões
TT06237SO,"TAMPAO TRIS BORATO EDTA 8,0 250ML"," R$  28,00 ","0,00%",-,3822.90.00,NAO,N,N,N,N,-,-,2 - ANO,0,1,Reagentes Especiais,Soluções e Tampões
TT07277SO,"TAMPAO TRIS BORATO EDTA 8,6 500ML"," R$  50,05 ","0,00%",-,3822.90.00,NAO,N,N,N,N,-,-,2 - ANO,0,1,Reagentes Especiais,Soluções e Tampões
TA05590RA,TARTARATO ACIDO DE POTASSIO (BITARTARATO DE POTASSIO) PA 500G," R$  67,26 ","0,00%",868-14-4,2918.13.10,NAO,N,N,N,N,-,-,6 - ANO,"99,7","1,98",Ácidos e Bases,Ácidos
BS06735RA,TARTARATO ACIDO DE SODIO (BITARTARATO DE SODIO) PA 250G," R$  69,29 ","0,00%",526-94-3,2918.13.10,NAO,N,N,N,N,-,-,6 - ANO,99,"1,04",Ácidos e Bases,Ácidos
TA04043RA,TARTARATO ACIDO DE SODIO (BITARTARATO DE SODIO) PA 500G," R$  129,46 ","0,00%",526-94-3,2918.13.10,NAO,N,N,N,N,,,6 - ANO,99,1,Ácidos e Bases,Ácidos
TA05028RA,TARTARATO DE AMONIO BIBASICO PA 500G," R$  110,25 ","0,00%",3164-29-2,2918.13.10,NAO,N,N,N,N,-,-,6 - ANO,98,"1,6",Sais Inorgânicos,Outros Sais
TC05781RA,TARTARATO DE COBRE II HIDRATADO PA 50G," R$  497,15 ","0,00%",946843-80-7,2918.12.00,NAO,N,N,N,N,-,-,6 - ANO,99,1,Sais Inorgânicos,Outros Sais
