termo,campanha,ad_group,impr,clicks,custo,ctr,conv,status,recomendacao,motivo
"alcool absoluto 99 5","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool absoluto onde comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool absoluto prolink","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool de perfumaria","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 100","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 1l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico preço","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etílico 90","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool hidratado 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool institucional","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool mais puro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool propilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"distribuidora de álcool 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","❌ NEGATIVAR","Contém "distribuidor""
"etanol 95","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol absoluto merck","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol farmaceutico onde comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol pa preço","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"ADDED","✅ ADICIONAR","Sinal positivo: "pa""
"etanol sigma aldrich","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","❌ NEGATIVAR","Contém "sigma aldrich""
"etanolo","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ethanol puro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"existe alcool 100","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds alcool 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds alcool isopropilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds álcool isopropílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fispq alcool etilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fornecedor alcool 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"implastec alcool isopropilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"isopropanol quimidrol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"lab alley ethanol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","✅ ADICIONAR","Sinal positivo: "lab""
"o que é álcool absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde comprar alcool anidro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde comprar alcool etilico 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde comprar etanol anidro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"reagentes quimicos","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"rialcool absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 100 por cento","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 100 puro onde comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 70 liquido 5 litros","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 70 líquido 5l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 92 5","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 92 8 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 96 graus","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 98","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 99 para que serve","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool absolut","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool absoluto comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool absoluto para que serve","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool anidro preço","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool de isopropílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etileno","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,1,2.73,50.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"álcool etilico 100","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etilico 99","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico 95 preço","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico 96 onde comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,1,2.76,50.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"álcool etílico 98","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,2,6.88,100.00%,0,"5","✅ ADICIONAR","CTR 100% alto — público qualificado"
"álcool etílico absoluto estéril 10ml","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"EXCLUDED","JÁ NEGATIVADO","Adicionado em 22/04"
"álcool etílico anidro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico hidratado extra neutro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico p a","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico para bebidas","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico potável de origem agrícola","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico tipo hidratado teor alcoólico 70 _ 70 gl apresentação líquido","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,1,2.67,50.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"álcool isopro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool isopropílico 5 litros","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool isopropílico 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool isopropílico pa","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool isopropílico puro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool santa cruz ltda","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",2,1,3.43,50.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"acetona p a","[Busca] - Produtos Prioritários","Acetona PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"1330 20 7","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fispq xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"hexano","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"hexano p a","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"laboratorio produtos quimicos","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"5","✅ ADICIONAR","Sinal positivo: "laboratorio""
"m xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"n hexano","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"orto xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"para que serve o xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"para que serve xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"quimico xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"reagentes laboratoriais","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"5","✅ ADICIONAR","Sinal positivo: "lab""
"tolueno xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xileno bula","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xileno comprar","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,1,4.00,50.00%,0,"ADDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"xileno fds","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xileno fispq","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,1,3.99,50.00%,0,"EXCLUDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"xileno preço","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xileno solvente","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xileno sulfonato de sodio","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xileno toxicidade","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilol 1 litro","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilol o que é","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xylenes","[Busca] - Produtos Prioritários","Xileno e Xilol PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"formaldehyde liquid","[Busca] - Produtos Prioritários","Formaldeído PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"formalina preço","[Busca] - Produtos Prioritários","Formaldeído PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"formol 37 como diluir","[Busca] - Produtos Prioritários","Formaldeído PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"formol 37 mercado livre","[Busca] - Produtos Prioritários","Formaldeído PA",2,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"formol a 37","[Busca] - Produtos Prioritários","Formaldeído PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"formol preço 1 litro","[Busca] - Produtos Prioritários","Formaldeído PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"quanto custa um litro de formol","[Busca] - Produtos Prioritários","Formaldeído PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"venda de formol","[Busca] - Produtos Prioritários","Formaldeído PA",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"bloco histologico","[Busca] - Produtos Prioritários","Parafina Histológica",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"blocos de parafina","[Busca] - Produtos Prioritários","Parafina Histológica",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"parafina histologia","[Busca] - Produtos Prioritários","Parafina Histológica",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acido sulfurico 50","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acido sulfurico 95","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acido sulfurico 95 98","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acido sulfurico ficha tecnica","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acido sulfúrico 98","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"densidade do acido sulfurico 98","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds ácido sulfúrico 98","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"h2so4 1n","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"preço do ácido sulfúrico","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"preço ácido sulfúrico","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,1,3.15,50.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"sulfúrico","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfúrico 98 comprar","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfúrico comprar","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfúrico h2 so4","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfúrico h2so4","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfúrico onde comprar","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfúrico onde encontrar","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfúrico valor","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acido cloridrico puro","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"comprar acido cloridrico","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"densidade acido cloridrico","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"densidade ácido clorídrico 37","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",2,0,0.00,0.00%,0,"EXCLUDED","JÁ NEGATIVADO","Adicionado em 22/04"
"hcl fumegante","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"hcl peso molecular","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"hcl produto quimico","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"o que é hcl","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido clorídrico 10","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido clorídrico concentrado","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool metílico","[Busca] - Produtos Secundários","Álcool Metílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"metanol acs","[Busca] - Produtos Secundários","Álcool Metílico PA-ACS",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool metílico preço","[Busca] - Produtos Secundários","Álcool Metílico PA-ACS",2,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"eter pa","[Busca] - Produtos Secundários","Éter de Petróleo PA",2,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilol pa","Produtos Curva A – Reagentes PA","Anuncio - Curva A - Xileno",1,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"5l alcool 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"64 17 5","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,1,3.50,100.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"7897780207162","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"92 8 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acido isopropílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acs ethanol","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcohol isopropilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcohol isopropílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 100 ml","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 100 por cento","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 70 fabricantes","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 70 galao 5 litros","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
