termo,campanha,ad_group,impr,clicks,custo,ctr,conv,status,recomendacao,motivo
"parafina para histologia","[Busca] - Produtos Prioritários","Parafina Histológica",5,2,8.81,40.00%,0,"ADDED","✅ ADICIONAR","CTR 40% alto — público qualificado"
"ácido sulfúrico pa preço","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",5,0,0.00,0.00%,0,"ADDED","✅ ADICIONAR","Sinal positivo: "pa""
"acido clorídrico 37","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",5,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido cloridrico pa","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",5,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"metanol pa","[Busca] - Produtos Secundários","Álcool Metílico PA-ACS",5,1,2.67,20.00%,0,"ADDED","JÁ ADICIONADO","Keyword adicionada em 22/04"
"alcohol etilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool 70 5l","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool a 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool anidro 99","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 92","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico 99 5","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool etilico p a","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool isopropilico cda","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"alcool p a","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,1,2.74,25.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"alcool puro","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"amazon alcool 99","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"comprar alcool etilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol 99 5","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"etanol 99.9","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds alcool etilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,1,3.25,25.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"álcool 95","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 96 inpm","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 96 para que serve","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 99 5","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool 99 graus","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool absoluto 70","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool absoluto onde comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool anidro onde comprar","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool benzilico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool butílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico 99 5","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico hidratado 96","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acetona acs","[Busca] - Produtos Prioritários","Acetona PA-ACS",4,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acs cientifica quimica fina especializada ltda","[Busca] - Produtos Prioritários","Xileno e Xilol PA",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fispq xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",4,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"p xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",4,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xylene","[Busca] - Produtos Prioritários","Xileno e Xilol PA",4,0,0.00,0.00%,0,"EXCLUDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"comprar formol 37","[Busca] - Produtos Prioritários","Formaldeído PA",4,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"densidade formol 37","[Busca] - Produtos Prioritários","Formaldeído PA",4,1,3.46,25.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"formalin","[Busca] - Produtos Prioritários","Formaldeído PA",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"formol inibido","[Busca] - Produtos Prioritários","Formaldeído PA",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds ácido sulfúrico","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",4,1,4.00,25.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"sulfurico","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfurico pa","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",4,1,3.02,25.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"ácido sulfúrico 98 preço","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",4,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfúrico preço","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",4,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
