termo,campanha,ad_group,impr,clicks,custo,ctr,conv,status,recomendacao,motivo
"álcool etilico absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool etílico pa","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"álcool pa","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acetona pa acs","[Busca] - Produtos Prioritários","Acetona PA-ACS",1,0,0.00,0.00%,0,"ADDED","✅ ADICIONAR","Sinal positivo: "pa acs""
"cas xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ksilen","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"o que é xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"EXCLUDED","JÁ NEGATIVADO","Adicionado em 22/04"
"o xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"EXCLUDED","JÁ NEGATIVADO","Adicionado em 22/04"
"o xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"EXCLUDED","JÁ NEGATIVADO","Adicionado em 22/04"
"para xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"solvente xilol precio","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilene","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xileno solvente","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xileno sulfonato de sódio","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilol fispq","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilol molecula","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilol preço","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilol venda","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xilou","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xylene chemical","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"xylol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"comprar formol 37","[Busca] - Produtos Prioritários","Formaldeído PA",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"formaldeído pa","[Busca] - Produtos Prioritários","Formaldeído PA",1,1,4.41,100.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"parafina histologia","[Busca] - Produtos Prioritários","Parafina Histológica",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"parafina para histologia","[Busca] - Produtos Prioritários","Parafina Histológica",1,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"parafina patologia","[Busca] - Produtos Prioritários","Parafina Histológica",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"paraplast plus","[Busca] - Produtos Prioritários","Parafina Histológica",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"dilutec industria e comercio de produtos quimicos ltda","[04/03/2026] Campanha Geral Halogenn 2.0","Grupo 1: Institucional / Distribuição",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"onde comprar potassa caustica","[04/03/2026] Campanha Geral Halogenn 2.0","Grupo 1: Institucional / Distribuição",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"quimica zew","[04/03/2026] Campanha Geral Halogenn 2.0","Grupo 1: Institucional / Distribuição",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfurico pa preço","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",1,0,0.00,0.00%,0,"5","✅ ADICIONAR","Sinal positivo: "pa""
"ácido sulfúrico pa","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfúrico pa preço","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",1,0,0.00,0.00%,0,"5","✅ ADICIONAR","Sinal positivo: "pa""
"acido clorhidrico 37","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"fds hcl 37","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",1,1,3.80,100.00%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"hcl 37 sigma","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"hydrochloric acid fuming 37","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido cloridrico pa","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"metanol acs","[Busca] - Produtos Secundários","Álcool Metílico PA-ACS",1,0,0.00,0.00%,0,"5","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"acetato de etila pa","[Busca] - Produtos Secundários","Acetato de Etila PA",1,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
